Anime Name,Song Type,Song Name,Song Artist,Mp3 Link,Webm Link
21 Emon,OP1,Ooi! Kurumaya-san,Ninja,y0c1k5.mp3,996h4c.webm
21 Emon,ED1,21 Seiki no Koibito,Yumi Tanimura,paecjk.mp3,7u8arl.webm
21 Emon,ED2,Beethoven da ne Rock'n'Roll,TENTEN,qj0ruo.mp3,d78095.webm
21 Seiki Manga Hajimete Monogatari,OP1,Happy Rider,Manami Komori,Not Found,Not Found
21 Seiki Manga Hajimete Monogatari,ED1,Yume no Ubekoe,Manami Komori,Not Found,Not Found
2112: The Birth of Doraemon,ED1,Boku Doraemon 2112,"Nobuyo Oyama, Koorogi '73",cdu7no.mp3,j8hon0.webm
2112: The Birth of Doraemon,IN,Hello! Dorami-chan,Satoko Yamano,edpnbi.mp3,sa9chu.webm
2112: The Birth of Doraemon,IN,Itoshi no Nyaao,Chisa Yokoyama,0gwkdd.mp3,4da6mc.webm
22/7,OP1,Muzui,22/7,skoxpu.mp3,tg1d3u.webm
22/7,ED1,Sora no Emerald,22/7,fof6r6.mp3,byyr57.webm
22/7,ED2,One of them,Nagomi Saijou,29jscx.mp3,zq8q3g.webm
22/7,ED3,Ikirukoto ni Raku ni Naritai,Sally Amaki,6hvgwe.mp3,g637vv.webm
22/7,ED4,Yume no Fune,Mizuha Kuroaka,cmd2zb.mp3,yqoaua.webm
22/7,ED5,Yūtōsei ja Tsumaranai,Chiharu Hokaze,5nn6vg.mp3,ivbbtm.webm
22/7,ED6,Jinsei wa Waltz,Ruri Umino,6sm9xw.mp3,d67ccf.webm
22/7,ED7,Kanjō Muyō-ron,Kanae Shirosawa,7nnkwb.mp3,pv4t65.webm
22/7,ED8,Moonlight,Reina Miyase,dnvov2.mp3,ca9nd9.webm
22/7,ED9,Kodoku wa Kirai ja Nai,Uta Kawase,ddcwyb.mp3,iyfj2g.webm
22/7,IN,Boku wa Sonzai Shiteinakatta,22/7,eb0kf2.mp3,gfx5za.webm
22/7,IN,Boku wa Sonzai Shiteinakatta,Mei Hanakawa,9szp60.mp3,0u28cw.webm
22/7,IN,Koisuru Fortune Cookie,Aimi Tanaka & Ruri Umino,szuh1t.mp3,7u4y40.webm
22/7,IN,Rikaisha,22/7,pc9e3m.mp3,gulybb.webm
22/7,IN,Shampoo no Nioi ga Shita,22/7,vzezf2.mp3,a2ukn4.webm
22/7,ED1,Kamisama ni Yubi wo Sasareta Boku-tachi,Moe Suzuhana & Urara Takatsuji & Aina Takeda,v8txxu.mp3,v5jm81.webm
25-sai no Joshikōsei: Kodomo ni wa Oshierarenai Koto Shite Yaru yo,ED1,Reunion,Saki Hazuki,95zwg5.mp3,laf9k8.webm
30-sai no Hoken Taiiku,OP1,Koi no Dōtei,kanon x kanon,bd1192.mp3,nnamnv.webm
30-sai no Hoken Taiiku,ED1,learn together,AiRI,s0gtly.mp3,j3i8s7.webm
"30,000 Miles Under the Sea",OP1,Kaitei Sanman Mile,The Coconut,rfzhbh.mp3,vk49rd.webm
"30,000 Miles Under the Sea",IN,Ousawagi no Tango,"Ado Mizumori, Vocal Shop",90iyup.mp3,yy9ay9.webm
3000 Leagues in Search of Mother,OP1,Sōgen no Marco,Kumiko Ōsugi,owwskn.mp3,bhgoyp.webm
3000 Leagues in Search of Mother,ED1,Kaasan Ohayō,Kumiko Ōsugi,i7xqmc.mp3,ijcfxz.webm
3D Magical Play,ED1,Catch Your Dream,Ai Tokunaga,98515e.mp3,rvwzqy.webm
47 Todōfuken R,OP1,Cartoon Swing '47,Konomi Fujimura,nbd2a6.mp3,pm62g7.webm
47 Todōfuken R,ED1,Wonderful Nyanderful,Otome Shinto,qt6nsh.mp3,7tjwq6.webm
5 Centimeters Per Second,IN,Kimi no Ichiban ni...,LINDBERG,mxnvqe.mp3,5ta5k8.webm
6HP: Six Hearts Princess,ED1,ROCK You! Princess!,STAR BALL CLUB,0593se.mp3,cm3kd1.webm
7SEEDS,OP1,Ark,Amatsuki,Not Found,eco7y9.webm
7SEEDS,ED1,WISH,majiko,Not Found,jpvo7c.webm
7SEEDS,OP1,From The Seeds,Mone Kamishiraishi,m8v1cs.mp3,2ch1ua.webm
7SEEDS,ED1,Synchro,Cidergirl,3pi06c.mp3,b3999a.webm
7SEEDS,ED2,Ikite Yuku,Lovin' You,qgx5qd.mp3,dk8kev.webm
8 Man,OP1,Eightman,Shigeru Katsumi,6yy8rc.mp3,gnf9e3.webm
8 Man After,ED1,Eightman no Theme (Version 1993),Nobuyoshi Kuwano,6i2kmf.mp3,9mtdz3.webm
8 Man After,ED2,Hohoemi no Mukougawa,Nobuyoshi Kuwano,el46vv.mp3,pa6k4h.webm
801 T.T.S. Airbats,OP1,Niji ni Naritai,Mayaka,008sac.mp3,co6vis.webm
801 T.T.S. Airbats,ED1,Taiyō ga Atatameta Kimochi,Aya Hisakawa & Ai Orikasa,bdsb7x.mp3,kzfyuv.webm
801 T.T.S. Airbats,ED2,Fuchū Shigure,Kikuko Inoue,l7arox.mp3,l6mtqw.webm
801 T.T.S. Airbats,ED3,Aozora no Love Letter,Yukana Nogami,v6lz3u.mp3,nbf6u5.webm
86 Eighty-Six,OP1,3-pun 29-byou,hitorie,usggml.mp3,scl8va.webm
86 Eighty-Six,ED1,Avid,SawanoHiroyuki[nZk]:mizuki,uu13y0.mp3,4s6bt7.webm
86 Eighty-Six,ED2,Hands Up to the Sky,SawanoHiroyuki[nZk]:Laco,fnrvx4.mp3,i8er00.webm
86 Eighty-Six,ED3,Voices of the Chord,Gemie,6ma3h7.mp3,u39ain.webm
86 Eighty-Six,IN,THE ANSWER,Hiroyuki Sawano feat. Laco,kix4k4.mp3,qj6h68.webm
86 Eighty-Six,IN,Two Worlds Apart,AI INOUE,cacp3i.mp3,k7lop3.webm
91 Days,OP1,Signal,TK from Ling Tosite Sigure,cxj0xx.mp3,m7d6r6.webm
91 Days,ED1,Rain or Shine,ELISA,6ztyt8.mp3,trkch1.webm
A Bridge to the Starry Skies,OP1,Hoshikaze no Horoscope,Nomico,7ejrtq.mp3,q9svhz.webm
A Bridge to the Starry Skies,ED1,Dash do Cinderella,Eriko Nakamura & Ai Shimizu,k3h1iq.mp3,r6sc84.webm
A Bridge to the Starry Skies,ED2,Water LiLy,Ai Shimizu,39trcb.mp3,p96mcg.webm
A Bridge to the Starry Skies,ED3,Hoshikaze no Horoscope,"Eriko Nakamura, Ai Shimizu, Ringo Aoba",hb0h31.mp3,ujz5e7.webm
A Bridge to the Starry Skies,IN,It's my message,Ringo Aoba,16yx7d.mp3,lslfys.webm
A Bridge to the Starry Skies,IN,Mighty Girl Power de☆,Aiko Ōkubo,csntme.mp3,93t664.webm
A Centaur's Life,OP1,Oshiete Darwin,Purely Monster,b7e8qh.mp3,7ga58f.webm
A Centaur's Life,ED1,Edelweiss,Asaka,7bmm61.mp3,oohaql.webm
A Centaur's Life,ED2,Edelweiss (English Version),Asaka,v7h7rb.mp3,j4eush.webm
A Certain Magical Index,IN,Ame,Mami Kawada,1n1t7s.mp3,btucj4.webm
A Certain Magical Index,IN,jellyfish,Mami Kawada,ql5gpc.mp3,7u884d.webm
A Certain Magical Index II,IN,Pray ~Inori~,IKU,612ilv.mp3,dc8ba2.webm
A Certain Magical Index III,OP1,Gravitation,Maon Kurosaki,qi2auc.mp3,r6cxgu.webm
A Certain Magical Index III,OP2,ROAR,Maon Kurosaki,zhosa4.mp3,d7d3en.webm
A Certain Magical Index III,ED1,Kakumei Zenya,Yuka Iguchi,ermf7g.mp3,tfqm7a.webm
A Certain Magical Index III,ED2,Owaranai Uta,Yuka Iguchi,hzuyjj.mp3,wun38l.webm
A Certain Magical Index: The Miracle of Endymion,ED1,FIXED STAR,Mami Kawada,x4nwtg.mp3,5hudoq.webm
A Certain Magical Index: The Miracle of Endymion,IN,"Ashita, Hareru kana",Sachika Misawa,u3gtr9.mp3,78kudu.webm
A Certain Magical Index: The Miracle of Endymion,IN,Atarimae no Kyori,Sachika Misawa,bybobt.mp3,i919nw.webm
A Certain Magical Index: The Miracle of Endymion,IN,Brand New Bright Step,Sachika Misawa,j6ti9g.mp3,bvh1fk.webm
A Certain Magical Index: The Miracle of Endymion,IN,Gloria,Sachika Misawa,1a36wx.mp3,7sn1vu.webm
A Certain Magical Index: The Miracle of Endymion,IN,OVER,"Yōko Hikasa, Sachika Misawa",n2hzif.mp3,5zhuqi.webm
A Certain Magical Index: The Miracle of Endymion,IN,telepath ~Hikari no Tō~,Sachika Misawa,82pwmf.mp3,rxne06.webm
A Certain Scientific Accelerator,OP1,Shadow is the Light,THE SIXTH LIE,cmijaj.mp3,rj28m5.webm
A Certain Scientific Accelerator,ED1,Parole,sajou no hana,sfh3m6.mp3,pxpd7n.webm
A Certain Scientific Railgun,ED2,Smile -You & Me-,ELISA,tvim3w.mp3,m5lzte.webm
A Certain Scientific Railgun OVA,OP1,future gazer,fripSide,8w5avv.mp3,oo40uf.webm
A Certain Scientific Railgun OVA,ED1,"Special ""ONE""",ELISA,odcx03.mp3,meqrlb.webm
A Certain Scientific Railgun S,ED2,stand still,Yuka Iguchi,cp43jp.mp3,tpflyy.webm
A Certain Scientific Railgun S,ED4,INFINIA,Sachika Misawa,z7ve92.mp3,1t4i10.webm
A Certain Scientific Railgun S,IN,eternal reality,fripSide,uc6rem.mp3,z104ix.webm
A Certain Scientific Railgun S,IN,future gazer,fripSide,ne2myi.mp3,f5o20a.webm
A Certain Scientific Railgun S,IN,LEVEL5-judgelight-,fripSide,eoqgh7.mp3,va0u85.webm
A Certain Scientific Railgun S,IN,Sister's Noise,fripSide,pxoikr.mp3,xfyv8m.webm
A Certain Scientific Railgun T,OP1,final phase,fripSide,h5qmqc.mp3,4acjy1.webm
A Certain Scientific Railgun T,OP2,dual existence,fripSide,s9408p.mp3,aohgn9.webm
A Certain Scientific Railgun T,ED1,nameless story,Kishida Kyōdan &THE Akeboshi Rockets,76mb29.mp3,gdn8y7.webm
A Certain Scientific Railgun T,ED2,Aoarashi no Ato de,sajou no hana,acn0r1.mp3,9kqckd.webm
A Certain Scientific Railgun T,IN,Koko ni Itai,sajou no hana,kd0my8.mp3,0s9gyp.webm
A Dark Rabbit Has Seven Lives,OP1,Once,Hitomi Harada,upqn5t.mp3,seaz0u.webm
A Dark Rabbit Has Seven Lives,ED1,Utsusemi,Akiko Shikata,yekgr9.mp3,w8yioo.webm
A Dark Rabbit Has Seven Lives,ED2,Sparkling Kiss,Iori Nomizu,ofkyk3.mp3,juqfdo.webm
A Dark Rabbit Has Seven Lives,ED3,Strawberry Eyes,Megumi Takamoto,hvf1g4.mp3,4aq6cr.webm
A Dark Rabbit Has Seven Lives,ED4,Secret Tears,Mina,s66qp8.mp3,81risd.webm
A Destructive God Sits Next to Me,OP1,Take mo' Chance,all at once,7i17ye.mp3,52wkei.webm
A Destructive God Sits Next to Me,ED1,FREEDOM de Muda ni Muteki!!,AŌP,iia0bk.mp3,mhlgff.webm
A Dog of Flanders,OP1,Yoake no Michi,Kumiko Ōsugi,cxr35d.mp3,sws9gj.webm
A Dog of Flanders,ED1,Doko made mo Arukō ne,Kumiko Ōsugi,i77pbl.mp3,14bbak.webm
A Dog of Flanders,ED1,WHEN I CRY,DIANNE REEVES,ecpv2n.mp3,saha98.webm
A Flying Princess and a Secret Island,ED1,Pocket,whiteeeen,qvvgdc.mp3,bo4k5v.webm
A Flying Princess and a Secret Island,IN,Wataridori,Hiroko Yakushimaru,1q87yb.mp3,qfyv28.webm
A Good Librarian Like a Good Shepherd,OP1,On my Sheep,Mitsuki Nakae,26sga5.mp3,kluuqy.webm
A Good Librarian Like a Good Shepherd,ED1,Aozora to Green Belt,Hagumi Nishizawa,aduw46.mp3,vdt5z3.webm
A Good Librarian Like a Good Shepherd,IN,Dear Smile,Ceui,pclbma.mp3,fmvjd0.webm
A Good Librarian Like a Good Shepherd,IN,Yozora no Stairs,Nozomi Yamamoto,npl7er.mp3,3h541k.webm
A Letter to Momo,ED1,Uruwashimahoroba ~Utsukushiki Basho~,Yuko Hara,u9vrj4.mp3,2ccq8c.webm
A Little Princess Sara,OP1,Hana no Sasayaki,Satoko Shimonari,warmid.mp3,07g3fp.webm
A Little Princess Sara,ED1,Himawari,Satoko Shimonari,he5qoz.mp3,rhctyz.webm
A Little Princess Sara,IN,Mizu-iro no Sora e,Sumi Shimamoto,f9tm0t.mp3,ujsjrz.webm
A Little Snow Fairy Sugar,OP1,Sugar Baby Love,Yoko Ishida,jfwy34.mp3,9ecp3o.webm
A Little Snow Fairy Sugar,ED1,Snow Flower,Maria Yamamoto,q3p097.mp3,0jfwsl.webm
A Little Snow Fairy Sugar Special,OP1,Sugar Baby Love,Yoko Ishida,t6bf4z.mp3,jvdpt6.webm
A Little Snow Fairy Sugar Special,ED1,Kokoro no Piano,Masumi Asano,kdmmtk.mp3,6mahzc.webm
A Lull in the Sea,ED3,lull ~Earth color of a calm~,Ray,lcnj99.mp3,l9p397.webm
A Lull in the Sea,IN,mnemonic,Nagi Yanagi,dkdgpd.mp3,hqhxvp.webm
A Place Further Than the Universe,OP1,The Girls Are Alright!,saya,zxe4br.mp3,tjn5mh.webm
A Place Further Than the Universe,ED1,"Koko kara, Koko kara","Inori Minase, Kana Hanazawa, Yuka Iguchi, Saori Hayami",5os3le.mp3,hnwh2l.webm
A Place Further Than the Universe,ED2,Mata ne,saya,7jsh40.mp3,8id4fg.webm
A Place Further Than the Universe,IN,Haruka Tooku,saya,lbndw1.mp3,6ztdxg.webm
A Place Further Than the Universe,IN,Mata ne,saya,mqzgdm.mp3,kfbsyy.webm
A Place Further Than the Universe,IN,One Step,"Inori Minase, Kana Hanazawa, Yuka Iguchi, Saori Hayami",oewz3c.mp3,l4kcjw.webm
A Place Further Than the Universe,IN,Sora o Miagete,saya,hv1ycj.mp3,tke7sf.webm
A Silent Voice,OP1,MY GENERATION,THE WHO,p8acbr.mp3,q7ff5l.webm
